INFO:doe.main:Namespace(N=128, c=1, rho=0.9, dim=20, layers=1, lr=0.01, init=0.0, clip=1, steps=20000, carry=0.99, alpha=1.0, a='e', nruns=1, pickle='model.p', seed=None, cuda=False, debug=False, logdir='./results/pdf-uniform/dim-20/cubic-False/N-128//1', run_id=1, pdf='uniform', cubic=False, I=0.1, I_max=0.5, rho_steps=5, tukey_transform=False, optimize_mu=True, cond_modes=128, use_tanh=False, init_std=0.01, cov_diagonal='var', cov_off_diagonal='var', average='var', marg_modes=128, ff_residual_connection=False, ff_activation='tanh', ff_layer_norm=False, ff_layers=1, hidden=128)
INFO:doe.main:step    1 | dv:  -0.03 | mine:  -0.04 | nwj:  -0.40 | nwjjs:  -0.37 | cpc:  -0.02 | interpol:  -0.02 | doe:  28.01 | doe_l:   9.61 | club:  -0.15 | knife:  -3.15 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    2 | dv:  -0.01 | mine:  -0.08 | nwj:  -0.32 | nwjjs:  -0.37 | cpc:  -0.01 | interpol:  -0.01 | doe:  26.13 | doe_l:  10.62 | club:   0.05 | knife: 94812746350578.66 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    3 | dv:  -0.01 | mine:  -0.04 | nwj:  -0.29 | nwjjs:  -0.39 | cpc:  -0.01 | interpol:  -0.01 | doe:  26.48 | doe_l:  10.84 | club:  -0.09 | knife: 652183744549281071104.00 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    4 | dv:  -0.01 | mine:   0.02 | nwj:  -0.27 | nwjjs:  -0.37 | cpc:  -0.01 | interpol:  -0.01 | doe:  24.60 | doe_l:  11.88 | club:   0.17 | knife: 60613819014175727095382016.00 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    5 | dv:  -0.01 | mine:   0.06 | nwj:  -0.20 | nwjjs:  -0.38 | cpc:  -0.00 | interpol:  -0.00 | doe:  23.83 | doe_l:  12.09 | club:   0.22 | knife: 602537139971220742850350153728.00 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    6 | dv:  -0.00 | mine:   0.00 | nwj:  -0.13 | nwjjs:  -0.36 | cpc:  -0.00 | interpol:  -0.00 | doe:  23.66 | doe_l:  12.33 | club:   0.03 | knife: 1309017561664123072443396638375936.00 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    7 | dv:   0.00 | mine:  -0.02 | nwj:  -0.10 | nwjjs:  -0.37 | cpc:  -0.00 | interpol:  -0.00 | doe:  23.22 | doe_l:  11.43 | club:   0.21 | knife: 941098652065053962633068054616997888.00 | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    8 | dv:  -0.00 | mine:   0.00 | nwj:  -0.07 | nwjjs:  -0.36 | cpc:  -0.00 | interpol:  -0.00 | doe:  24.50 | doe_l:   9.72 | club:   0.17 | knife:    nan | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step    9 | dv:  -0.00 | mine:  -0.00 | nwj:  -0.05 | nwjjs:  -0.36 | cpc:  -0.00 | interpol:  -0.00 | doe:  21.88 | doe_l:  11.20 | club:   0.24 | knife:    nan | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step   10 | dv:  -0.00 | mine:  -0.01 | nwj:  -0.03 | nwjjs:  -0.37 | cpc:  -0.00 | interpol:  -0.00 | doe:  21.75 | doe_l:  10.88 | club:   0.33 | knife:    nan | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step   11 | dv:  -0.00 | mine:  -0.02 | nwj:  -0.04 | nwjjs:  -0.37 | cpc:  -0.00 | interpol:  -0.00 | doe:  20.93 | doe_l:  10.68 | club:   0.16 | knife:    nan | ln N: 4.85 | I(X,Y): 2.00
INFO:doe.main:step   12 | dv:  -0.00 | mine:  -0.00 | nwj:  -0.05 | nwjjs:  -0.37 | cpc:   0.00 | interpol:   0.00 | doe:  21.37 | doe_l:  10.61 | club:   0.38 | knife:    nan | ln N: 4.85 | I(X,Y): 2.00
